id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1831,Bitcoin Cash,BCH,bitcoin-cash,1101,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19962946.875,19962946.875,False,11454371843.03,,11,,,,2025-12-06T05:05:00.000Z,573.7816122413552,377794379.8172752,2.3481,0.17506646,0.04416883,7.22431433,17.80807803,-3.83406334,-4.23033195,11454371843.026024,0.3754,12049413857.07,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
32196,Hyperliquid,HYPE,hyperliquid,208,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",999533278.0,336685219.0,999533278.0,False,31197370952.39,,12,333931719.0,10422656193.355227,,2025-12-06T05:04:00.000Z,31.21193825063149,303952481.9407094,17.7312,0.37437912,-6.66044801,-9.89346516,-24.05621033,-32.70654804,-33.27731122,10508598265.32834,0.3444,31197370952.39,,2025-12-06T05:04:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-12-05 23:31:35.102059
1975,Chainlink,LINK,chainlink,2156,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'x-layer-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'apechain-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,696849970.4525867,1000000000.0,False,13648874112.57,,13,,,,2025-12-06T05:04:00.000Z,13.64887411257105,672245306.383128,7.6679,-0.21507547,-4.21590466,3.91517585,-10.04651522,-41.91508272,-39.20794205,9511217522.056211,0.3118,13648874112.57,,2025-12-06T05:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-12-05 23:31:35.102059
3957,UNUS SED LEO,LEO,unus-sed-leo,64,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921975093.9,985239504.0,False,9425043461.19,,14,,,,2025-12-06T05:05:00.000Z,9.56624599696049,962530.25467982,44.2142,0.00145178,-2.04957054,-2.33092372,0.32617242,-0.52343761,-0.23163584,8819840551.318146,0.289,9425043461.19,,2025-12-06T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-12-05 23:31:35.102059
512,Stellar,XLM,stellar,784,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022']",50001806812.0,32347053909.075474,50001786883.671455,False,12061561641.94,,15,31531408660.0,7606088760.28127,,2025-12-06T05:04:00.000Z,0.24122261210391702,130188938.76343295,-10.4441,-0.21159468,-4.10429001,-5.15063253,-13.50995839,-40.63906459,-32.68194433,7802840837.813406,0.2558,12061566449.11,,2025-12-06T05:04:00.000Z,,,,,,2025-12-05 23:31:35.102059
328,Monero,XMR,monero,344,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,7181930404.62,,16,,,,2025-12-06T05:04:00.000Z,389.3332273665471,132664456.377891,-1.5706,-0.39992643,-3.41696914,-4.97157645,13.66340579,22.6993572,45.60527174,7181930404.622066,0.2354,7181930404.62,,2025-12-06T05:04:00.000Z,,,,,,2025-12-05 23:31:35.102059
29470,Ethena USDe,USDe,ethena-usde,249,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem', 'plasma-ecosystem']",,6734338079.498232,6734338079.498232,True,6731033724.78,,17,,,,2025-12-06T05:04:00.000Z,0.9995093274679742,170956549.5992378,25.1955,-0.00270651,0.00806238,-0.00663571,0.03515012,-0.04765135,-0.13793023,6731033724.781246,0.2206,6731033724.78,,2025-12-06T05:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-12-05 23:31:35.102059
2,Litecoin,LTC,litecoin,1477,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'privacy', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",84000000.0,76597676.98347135,84000000.0,False,6757409711.42,,18,,,,2025-12-06T05:05:00.000Z,80.44535370740043,434377030.2507649,-9.944,-0.28531857,-3.50070645,-5.65342712,-9.04648097,-32.04055739,-28.76440538,6161927218.100557,0.202,6757409711.42,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
1437,Zcash,ZEC,zcash,542,2016-10-29T00:00:00.000Z,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'quantum-resistant', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'layer-1', 'standard-crypto-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",21000000.0,16423749.5405448,16423749.5405448,False,5798784867.35,,19,,,,2025-12-06T05:05:00.000Z,353.0731428312587,1019365248.0943552,-11.8134,-0.1479657,-8.97977708,-24.82451332,-29.98864966,142.41731179,651.52005056,5798784867.353594,0.1901,7414535999.46,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
20947,Sui,SUI,sui,862,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3736866360.6511097,10000000000.0,False,15422531080.86,,20,3736866360.65,5763193759.213249,,2025-12-06T05:04:00.000Z,1.54225310808567,879530897.049257,14.673,-0.81708834,-5.59208546,1.33844646,-24.29185279,-57.65095484,-54.22893561,5763193759.21496,0.1889,15422531080.86,,2025-12-06T05:04:00.000Z,,,,,,2025-12-05 23:31:35.102059
5805,Avalanche,AVAX,avalanche,1023,2020-07-13T00:00:00.000Z,"['smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",715748719.0,429172481.898494,460841581.898494,False,6127601625.29,,21,,,,2025-12-06T04:57:00.000Z,13.29654672229741,457687521.51651555,25.6001,-0.28945573,-7.82718705,-10.69450995,-20.26222376,-56.44126767,-45.8639314,5706511957.487665,0.1872,9516986283.61,,2025-12-06T04:57:00.000Z,,,,,,2025-12-05 23:31:35.102059
4642,Hedera,HBAR,hedera,404,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022']",50000000000.0,42476304284.83237,50000000000.0,False,6680788455.47,,22,,,,2025-12-06T05:04:00.000Z,0.1336157691093299,154437528.99760064,-13.6055,-0.33074979,-3.62138812,-7.49565771,-22.97610852,-41.68930356,-39.13507166,5675504065.939802,0.186,6680788455.47,,2025-12-06T05:04:00.000Z,,,,,,2025-12-05 23:31:35.102059
4943,Dai,DAI,multi-collateral-dai,3646,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem']",,5365382702.664872,5365382702.664872,True,5363852252.82,,23,,,,2025-12-06T05:04:00.000Z,0.9997147547660811,91000938.18574148,-4.9878,-0.0095745,-0.00762798,-0.01547289,-0.01661069,-0.00340041,-0.02073561,5363852252.8207855,0.1758,5363852252.82,,2025-12-06T05:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2025-12-05 23:31:35.102059
5994,Shiba Inu,SHIB,shiba-inu,1022,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'bnb-chain-ecosystem', 'base-ecosystem', 'animal-memes', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem']",589552695333683.0,589244366025850.2,589500632800505.6,False,4926134145.56,,24,589551575078137.0,4926559842.290981,,2025-12-06T04:58:00.000Z,8.356452684632439e-06,120389351.30086555,-4.5049,0.74046189,-2.77995626,-2.7277158,-8.76363507,-35.04000931,-32.39087799,4923992664.381256,0.1615,4926569203.65,,2025-12-06T04:58:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-12-05 23:31:35.102059
33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,383,2024-10-01T02:34:47.000Z,"['defi', 'ethereum-ecosystem', 'solana-ecosystem', 'bnb-chain-ecosystem', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'wlfi-ecosystem']",100000000000.0,26733462547.0,100000000000.0,False,15047247864.67,,25,,,,2025-12-06T05:04:00.000Z,0.1504724786467323,103811960.53511424,-11.4396,-0.16845549,-1.70217864,-5.34677773,23.90714305,-24.44197909,-36.13223186,4022650372.2566752,0.1318,15047247864.67,,2025-12-06T05:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6,2025-12-05 23:31:35.102059
11419,Toncoin,TON,toncoin,837,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025', 'binance-ecosystem', 'binance-listing']",,2445880510.8630476,5147611409.415946,True,8190462600.53,,26,,,,2025-12-06T04:58:00.000Z,1.5911190548584284,83060520.34523356,-3.952,0.20015427,0.41987183,0.18821213,-18.7036098,-44.12881506,-48.43591013,3891687086.741062,0.1276,8190462600.53,,2025-12-06T04:58:00.000Z,,,,,,2025-12-05 23:31:35.102059
3635,Cronos,CRO,cronos,335,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'centralized-exchange', 'mobile', 'payments', 'layer-1']",100000000000.0,37344742139.18148,98211409426.43982,False,10211645027.03,,27,97393210558.0,10126571852.181057,,2025-12-06T05:05:00.000Z,0.1039761580315749,18693978.95111161,36.8743,-0.35136177,-2.47964544,-4.87692065,-16.53651927,-50.81972742,-60.79263275,3882962810.311948,0.1273,10397615803.16,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
27772,PayPal USD,PYUSD,paypal-usd,141,2023-08-21T14:30:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'usd-stablecoin', 'fiat-stablecoin']",,3846371806.628637,3846371806.628637,False,3844664134.45,,28,,,,2025-12-06T05:03:00.000Z,0.9995560303928135,87126127.86167412,11.3644,-0.01714532,-0.00389505,-0.01455269,0.0088301,-0.00709798,0.01830261,3844664134.4485545,0.126,3844664134.45,,2025-12-06T05:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6c3ea9036406852006290770bedfcaba0e23a0e8,2025-12-05 23:31:35.102059
27075,Mantle,MNT,mantle,209,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio', 'made-in-china', 'neobank']",6219316795.0,3252944055.636841,6219316794.89,False,6691426736.32,,29,3252944055.64,3499875877.611555,,2025-12-06T05:05:00.000Z,1.0759102578304172,133821457.5188423,20.4111,-1.37895867,1.3385204,0.05054128,-12.09310715,-54.39629693,-6.66860807,3499875877.608156,0.1147,6691426736.44,,2025-12-06T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2025-12-05 23:31:35.102059
7083,Uniswap,UNI,uniswap,1349,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'ethereum-ecosystem', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'polygon-ecosystem', 'terra-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cmc-crypto-awards-2024', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem']",,630330527.7099,1000000000.0,False,5503844289.98,,30,,,,2025-12-06T05:02:00.000Z,5.503844289977263,272668686.8527692,12.8555,-0.22313211,-7.18317363,-10.79795666,3.02038594,-33.63407514,-41.57635096,3469241075.734488,0.1138,5503844289.98,,2025-12-06T05:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2025-12-05 23:31:35.102059
6636,Polkadot,DOT,polkadot-new,996,2020-08-19T00:00:00.000Z,"['defi', 'ethereum-ecosystem', 'substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'arbitrum-ecosystem', 'spartan-group', 'optimism-ecosystem', 'osmosis-ecosystem', 'base-ecosystem', 'gnosis-chain-ecosystem', 'binance-ecosystem', 'binance-listing']",,1642569139.2080002,1642569139.2080002,True,3467641799.25,,31,,,,2025-12-06T05:04:00.000Z,2.1111085777027627,163762079.38831282,1.5808,-0.47295353,-6.85933971,-7.69078472,-20.61459463,-51.75027214,-45.18604114,3467641799.2518525,0.1136,3467641799.25,,2025-12-06T05:04:00.000Z,,,,,,2025-12-05 23:31:35.102059
